Hospital Name,Address,Latitude,Longitude
Vets Now Ashford,"Cinque Ports Veterinary Hospital, Ashford Road, Kingsnorth, Ashford, Kent, TN23 3EA",51.1245765,0.86374
Vets Now Bath,"Rosemary Lodge, Bath, BA2 5RL,",51.3595506,-2.3729908
Vets Now Barnet,"Wood Street Veterinary Hospital, 74 Wood Street, Barnet, Hertfordshire, EN5 4BW",51.6531089,-0.2054718
Vets Now Barton-le-clay,"c/o Boness Vets, 125 Bedford Road, Barton-Le-Clay, Bedfordshire, MK45 4LP",51.9718435,-0.4275394
Vets Now Birmingham,"PDSA Oldbury, St Matthews Road, Oldbury, B68 8AB",52.4800641,-2.0131464
Vets Now Bournemouth,"Station Road, Wimborne, Bournemouth, BH21 1RQ",50.7941824,-1.976646
Vets Now Bradford,"1 Lorne Street, Bradford, BD4 7PS",53.7794001,-1.7295784
Vets Now Bristol,"32 - 34 Zetland Road, Redland, Bristol, BS6 7AB",51.4699107,-2.5958947
Vets Now Cheltenham,"Dragon Vets, Prestbury Park, New Barn Lane, Cheltenham, GL50 4SH,",51.916006,-2.066048
Vets Now Chesterfield,"55-59 Broadleys, Clay Cross, Derbyshire, S45 9JN",53.1649512,-1.4128107
Vets Now Colwyn Bay,"110 Abergele Road, Colwyn Bay, LL29 7PS",53.29151719999999,-3.7224328
Vets Now Coventry,"34 Barker Butts Lane, Coventry, CV6 1DT",52.4153343,-1.5237633
Vets Now Derby,"City Gate Business Park, City Gate, Derby, DE24 8WY",52.9073202,-1.4557315
Vets Now Doncaster,"Unit 2 Station Retail Park, Kirk Sandall, Doncaster, DN3 1SE",53.5634869,-1.0732821
Vets Now Eastbourne,"6 St. Annes Road, Eastbourne, East Sussex, BN21 2DJ",50.7732614,0.2784504
Vets Now Farnham,"Hale Road, Farnham, GU9 9RB",51.223831,-0.783961
Vets Now Gateshead,"Stoneygate Lane, Felling, Gateshead, NE10 0LX",54.9525136,-1.5617474
Vets Now Gillingham,"Campus Way, Gillingham, ME8 0RR",51.3627884,0.5752256
Vets Now Guildford,"Stocton Close, Woodbridge Road, Guildford, GU1 1HR",51.2465105,-0.5782784
Vets Now Hemel Hempstead,"Midland Road, Hemel Hempstead, HP2 5BH",51.7555891,-0.4688184
Vets Now Herne Bay,"Unit 1 The Links, Herne, Kent, CT6 7FE",51.35877850000001,1.1314426
Vets Now High Wycombe,"54 West Wycombe Road, High Wycombe, HP11 2LP",51.63423210000001,-0.7615567
Vets Now Hull,"1-2 Park St, Hull, HU3 2JF",53.7434009,-0.3516403
Vets Now Kendal,"Riverside Business Park, Natland Road, Kendal, Cumbria, LA9 7SX",54.3133527,-2.7422471
Vets Now Kings Lynn,"20 Tennyson Avenue, King's Lynn, PE30 2QG",52.7556683,0.4094555
Vets Now Lincoln,"Hykeham Green, North Hykeham, LN6 8NH",53.183197,-0.5861066
Vets Now Liverpool,"Woolfall Heath Ave, Liverpool, L36 3YD",53.4225954,-2.8579993
Vets Now Macclesfield,"38 Cumberland Street, Macclesfield, SK10 1DD",53.2621423,-2.1277749
Vets Now Manchester,"98 Bury Old Rd, Whitefield, Manchester, M45 6TQ",53.54208389999999,-2.2868198
Vets Now Manningtree,"Factory Ln, Cattawade, Manningtree, CO11 1QL,",51.9562121,1.0582247
Vets Now Middlesbrough,"Preston Farm Surgery, Sopwith Close, Preston Farm Industrial Estate, Stockton-On-Tees, TS18 3TT",54.54622519999999,-1.3199749
Vets Now Milton Keynes,"Fyfield Barrow, Milton Keynes, United Kingdom, MK7 7AN",52.0223256,-0.6882347
Vets Now Newport,"Langstone Business Village, Langstone, Newport, NP18 2LH",51.6044557,-2.9192057
Vets Now Northampton,"Gate 3, The Holcot Centre Moulton College, Pitsford Road, Moulton, Northampton, NN3 7SS",52.2957251,-0.8634155
Vets Now Nottingham,"581 Radford Road, Nottingham, NG7 7EB",52.97736769999999,-1.1739264
Vets Now Peterborough,"Pengelly & Mizen, 89 - 93 Park Road, Peterborough, Cambridgeshire, PE1 2TR",52.5782672,-0.2411618
Vets Now Portsmouth,"Unit 1 Southdown View, Military Road, Hilsea, PO3 5FS",50.83472870000001,-1.0713608
Vets Now Preston,"Myerscough House, Longsight Road, Clayton Le Dale, Blackburn, BB2 7JA",53.787259,-2.524491
Vets Now Reading,"Castle Veterinary Surgery, 1 Tilehurst Road, Reading, RG1 7TW",51.451897,-0.9847100000000001
Vets Now Salisbury,"49 Endless Street, Salisbury, SP1 3UH",51.0717681,-1.7953657
Vets Now Sheffield,"14 Newhall Road, Sheffield, S9 2QL",53.3995633,-1.4360914
Vets Now Southampton,"64 West End Road, Southampton, SO18 6TG",50.9176045,-1.3586628
Vets Now Staines,"Willett House, 138 Kingston Rd, Staines Upon Thames, TW18 1BL",51.4280604,-0.4928734999999999
Vets Now Stoke,"Lysander Road, Meir Park, Stoke-on-Trent, Staffordshire, ST3 7WD",52.9710656,-2.087931
Vets Now Sutton,"Inside Maven Veterinary Care, 609-613 London Road, North Cheam, SM3 9DF",51.3739496,-0.2250565
Vets Now Telford,"Unit 9, Hadley Centre, Hadley, Telford, TF1 5GQ",52.7055583,-2.4855506
Vets Now Sidcup,"Park Vets, 53 â€“ 55 Maidstone Road, Foots Cray, Kent, DA14 5HB",51.41711300000001,0.1227781
Vets Now Tunbridge Wells,"11 Culverden Park Road, Tunbridge Wells, TN4 9RD",51.1400206,0.2564404
Vets Now Winchester,"c/o Cedar Veterinary Group, The Dean, Alresford, Hants, S024 9BH",51.091758,-1.1668683
Vets Now Witham,"Spring Lodge Farm, Powershall End, Witham, CM8 2HG",51.807673,0.63086
Vets Now Wolverhampton,"St Georges Hospital, 8 St Georges Parade, Wolverhampton, WV2 1BD",52.5823265,-2.1240918
Vets Now Worcester,"Berkeley House, Berkeley Way, Warndon Villages, Worcester, WR4 9UP",52.2128624,-2.1778909
Vets Now Worthing,"18 Upper Brighton Road, Worthing, West Sussex, BN14 9DL",50.8326704,-0.380196
Vets Now Aberdeen,"Skene Road, Aberdeen, AB15 8PJ",57.1461199,-2.1845253
Vets Now Dundee,"Parkside Veterinary Group, 5 King's Cross Road, Dundee, DD2 3PT",56.4761981,-3.0005344
Vets Now Edinburgh,"2B Hutchison Crossway, Edinburgh, EH14 1RR",55.9308134,-3.2397085
Vets Now Glasgow,"123-145 North Street, Glasgow, G3 7DA",55.863751,-4.271375000000001
Vets Now Kilmarnock,"21 Hill Street, Kilmarnock, KA3 1HA",55.6139629,-4.4977806
Vets Now Kirkcaldy,"St Clair Veterinary Group, Pottery Street, Kirkcaldy, KY1 3ET",56.1319344,-3.1346089
Vets Now Swansea,"Copper Court, Llansamlet, Swansea, SA7 9EH",51.6563616,-3.908938
Vets Now Wrexham,"Rhyd Broughton Vet Gp Ltd, Gatewen Road, Wrexham, LL11 6YA",53.05212460000001,-3.0140411
Vets Now Belfast,"193 Belmont Road, Belfast, BT4 2AE",54.59918649999999,-5.8689506
